Entity,Year,Deaths,GDP_per_capita,population
United States,2000,5.081243151,36334.90878,281710914
United States,2001,4.852498284,37133.24281,284607992
United States,2002,4.8819704,38023.16111,287279312
United States,2003,4.887963386,39496.48588,289815567
United States,2004,4.725875774,41712.80107,292354663
United States,2005,4.839925482,44114.74778,294993509
United States,2006,4.780228967,46298.73144,297758977
United States,2007,4.647154412,47975.9677,300608425
United States,2008,4.272679098,48382.55845,303486022
United States,2009,3.889125498,47099.98047,306307565
United States,2010,3.543917247,48466.6576,309011469
United States,2011,3.505428852,49882.55813,311584051
United States,2012,3.45306148,51602.93105,314043885
United States,2013,3.467228387,53106.53677,316400539
United States,2014,3.453366526,55049.98833,318673422
United States,2015,3.463799273,56863.3715,320878312
United States,2016,3.432861294,58021.4005,323015992
United States,2017,3.268077889,60109.65573,325084758